No.,Time,Source,Destination,Protocol,Length,Info
161,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49960  >  8008 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
162,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49962  >  8088 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
163,14:04.8,192.168.99.6,192.168.99.5,TCP,66,[TCP Port numbers reused] 49963  >  8983 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
164,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"5985  >  49957 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
165,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"5986  >  49958 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
166,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"8008  >  49960 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
167,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"8088  >  49962 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
168,14:04.8,192.168.99.5,192.168.99.6,TCP,54,"8983  >  49963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
169,14:05.7,192.168.99.5,192.168.99.6,SSH,95,Server: Protocol (SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.6)
170,14:05.7,192.168.99.6,192.168.99.5,SSH,571,Client: Encrypted packet (len=517)
171,14:05.7,192.168.99.5,192.168.99.6,SSH,88,Server: Encrypted packet (len=34)
172,14:05.8,192.168.99.5,192.168.99.6,SSH,95,Server: Protocol (SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.6)
173,14:05.8,192.168.99.6,192.168.99.5,SSH,201,Client: Encrypted packet (len=147)
174,14:08.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.18? Tell 192.168.99.6
175,14:08.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.19? Tell 192.168.99.6
176,14:08.1,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.20? Tell 192.168.99.6
177,14:08.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.26? Tell 192.168.99.6
178,14:08.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.22? Tell 192.168.99.6
179,14:08.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.29? Tell 192.168.99.6
180,14:08.2,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.24? Tell 192.168.99.6
181,14:08.3,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.25? Tell 192.168.99.6
182,14:08.3,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.23? Tell 192.168.99.6
183,14:08.3,PCSSystemtec_64:2e:f9,Broadcast,ARP,60,Who has 192.168.99.27? Tell 192.168.99.6
