"No.","Time","Source","Destination","Protocol","Length","Info"
"1733","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1213234 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1734","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1214694 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1735","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1216154 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1736","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1217614 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1737","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1219074 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1738","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1220534 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1739","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1221994 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1740","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1223454 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1741","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1224914 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1742","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1226374 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1743","26.697639","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1227834 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1744","26.697713","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1229294 Win=64240 Len=0"
"1745","26.701354","23.40.207.66","192.168.99.4","TCP","344","80  >  50288 [PSH, ACK] Seq=1229294 Ack=1733 Win=32768 Len=290 [TCP segment of a reassembled PDU]"
"1746","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [PSH, ACK] Seq=1229584 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1747","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1231044 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1748","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1232504 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1749","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1233964 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1750","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1235424 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1751","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1236884 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1752","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1238344 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1753","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1239804 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1754","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1241264 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1755","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1242724 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1756","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1244184 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1757","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1245644 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1758","26.728038","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1247104 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1759","26.728125","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1248564 Win=64240 Len=0"
"1760","26.728744","23.40.207.66","192.168.99.4","TCP","422","80  >  50288 [PSH, ACK] Seq=1248564 Ack=1733 Win=32768 Len=368 [TCP segment of a reassembled PDU]"
"1761","26.778111","192.168.99.5","192.168.99.4","ICMP","98","Echo (ping) request  id=0x0001, seq=19/4864, ttl=64 (reply in 1762)"
"1762","26.778236","192.168.99.4","192.168.99.5","ICMP","98","Echo (ping) reply    id=0x0001, seq=19/4864, ttl=128 (request in 1761)"
"1763","26.785230","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1248932 Win=63872 Len=0"
"1764","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1248932 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1765","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1250392 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1766","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1251852 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1767","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1253312 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1768","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1254772 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1769","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1256232 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1770","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1257692 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1771","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1259152 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1772","26.999643","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1260612 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1773","26.999905","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1262072 Win=64240 Len=0"
"1774","27.001391","23.40.207.66","192.168.99.4","TCP","734","80  >  50288 [PSH, ACK] Seq=1262072 Ack=1733 Win=32768 Len=680 [TCP segment of a reassembled PDU]"
"1775","27.001426","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1262752 Win=63560 Len=0"
"1776","27.025898","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1262752 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1777","27.025898","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1264212 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1778","27.025898","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1265672 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1779","27.025898","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1267132 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1780","27.025898","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1268592 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1781","27.025948","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1270052 Win=64240 Len=0"
